path,metric,value
classical.audit.family_only_classifier,accuracy,1.0
classical.audit.family_only_classifier,balanced_accuracy,1.0
classical.audit.family_only_classifier,precision,1.0
classical.audit.family_only_classifier,recall,1.0
classical.audit.family_only_classifier,f1,1.0
classical.random_split_36d.linear_svm,accuracy,0.863
classical.random_split_36d.linear_svm,balanced_accuracy,0.665
classical.random_split_36d.linear_svm,precision,0.8568353067814855
classical.random_split_36d.linear_svm,recall,0.995
classical.random_split_36d.linear_svm,f1,0.9207634470792365
classical.random_split_36d.rbf_svm,accuracy,1.0
classical.random_split_36d.rbf_svm,balanced_accuracy,1.0
classical.random_split_36d.rbf_svm,precision,1.0
classical.random_split_36d.rbf_svm,recall,1.0
classical.random_split_36d.rbf_svm,f1,1.0
classical.random_split_36d.random_forest,accuracy,1.0
classical.random_split_36d.random_forest,balanced_accuracy,1.0
classical.random_split_36d.random_forest,precision,1.0
classical.random_split_36d.random_forest,recall,1.0
classical.random_split_36d.random_forest,f1,1.0
classical.random_split_36d.gradient_boosting,accuracy,1.0
classical.random_split_36d.gradient_boosting,balanced_accuracy,1.0
classical.random_split_36d.gradient_boosting,precision,1.0
classical.random_split_36d.gradient_boosting,recall,1.0
classical.random_split_36d.gradient_boosting,f1,1.0
classical.family_held_out_36d.cluster.linear_svm,accuracy,1.0
classical.family_held_out_36d.cluster.linear_svm,precision,1.0
classical.family_held_out_36d.cluster.linear_svm,recall,1.0
classical.family_held_out_36d.cluster.linear_svm,f1,1.0
classical.family_held_out_36d.cluster.rbf_svm,accuracy,0.806
classical.family_held_out_36d.cluster.rbf_svm,precision,1.0
classical.family_held_out_36d.cluster.rbf_svm,recall,0.806
classical.family_held_out_36d.cluster.rbf_svm,f1,0.8925802879291251
classical.family_held_out_36d.cluster.random_forest,accuracy,1.0
classical.family_held_out_36d.cluster.random_forest,precision,1.0
classical.family_held_out_36d.cluster.random_forest,recall,1.0
classical.family_held_out_36d.cluster.random_forest,f1,1.0
classical.family_held_out_36d.cluster.gradient_boosting,accuracy,1.0
classical.family_held_out_36d.cluster.gradient_boosting,precision,1.0
classical.family_held_out_36d.cluster.gradient_boosting,recall,1.0
classical.family_held_out_36d.cluster.gradient_boosting,f1,1.0
classical.family_held_out_36d.ghz.linear_svm,accuracy,0.0
classical.family_held_out_36d.ghz.linear_svm,precision,0.0
classical.family_held_out_36d.ghz.linear_svm,recall,0.0
classical.family_held_out_36d.ghz.linear_svm,f1,0.0
classical.family_held_out_36d.ghz.rbf_svm,accuracy,0.666
classical.family_held_out_36d.ghz.rbf_svm,precision,1.0
classical.family_held_out_36d.ghz.rbf_svm,recall,0.666
classical.family_held_out_36d.ghz.rbf_svm,f1,0.7995198079231692
classical.family_held_out_36d.ghz.random_forest,accuracy,1.0
classical.family_held_out_36d.ghz.random_forest,precision,1.0
classical.family_held_out_36d.ghz.random_forest,recall,1.0
classical.family_held_out_36d.ghz.random_forest,f1,1.0
classical.family_held_out_36d.ghz.gradient_boosting,accuracy,1.0
classical.family_held_out_36d.ghz.gradient_boosting,precision,1.0
classical.family_held_out_36d.ghz.gradient_boosting,recall,1.0
classical.family_held_out_36d.ghz.gradient_boosting,f1,1.0
classical.family_held_out_36d.random_mixed.linear_svm,accuracy,0.004
classical.family_held_out_36d.random_mixed.linear_svm,precision,1.0
classical.family_held_out_36d.random_mixed.linear_svm,recall,0.004
classical.family_held_out_36d.random_mixed.linear_svm,f1,0.00796812749003984
classical.family_held_out_36d.random_mixed.rbf_svm,accuracy,0.982
classical.family_held_out_36d.random_mixed.rbf_svm,precision,1.0
classical.family_held_out_36d.random_mixed.rbf_svm,recall,0.982
classical.family_held_out_36d.random_mixed.rbf_svm,f1,0.9909182643794148
classical.family_held_out_36d.random_mixed.random_forest,accuracy,0.0
classical.family_held_out_36d.random_mixed.random_forest,precision,0.0
classical.family_held_out_36d.random_mixed.random_forest,recall,0.0
classical.family_held_out_36d.random_mixed.random_forest,f1,0.0
classical.family_held_out_36d.random_mixed.gradient_boosting,accuracy,0.0
classical.family_held_out_36d.random_mixed.gradient_boosting,precision,0.0
classical.family_held_out_36d.random_mixed.gradient_boosting,recall,0.0
classical.family_held_out_36d.random_mixed.gradient_boosting,f1,0.0
classical.family_held_out_36d.w.linear_svm,accuracy,1.0
classical.family_held_out_36d.w.linear_svm,precision,1.0
classical.family_held_out_36d.w.linear_svm,recall,1.0
classical.family_held_out_36d.w.linear_svm,f1,1.0
classical.family_held_out_36d.w.rbf_svm,accuracy,0.681
classical.family_held_out_36d.w.rbf_svm,precision,1.0
classical.family_held_out_36d.w.rbf_svm,recall,0.681
classical.family_held_out_36d.w.rbf_svm,f1,0.810232004759072
classical.family_held_out_36d.w.random_forest,accuracy,0.769
classical.family_held_out_36d.w.random_forest,precision,1.0
classical.family_held_out_36d.w.random_forest,recall,0.769
classical.family_held_out_36d.w.random_forest,f1,0.8694177501413228
classical.family_held_out_36d.w.gradient_boosting,accuracy,1.0
classical.family_held_out_36d.w.gradient_boosting,precision,1.0
classical.family_held_out_36d.w.gradient_boosting,recall,1.0
classical.family_held_out_36d.w.gradient_boosting,f1,1.0
classical.feature_ablation_cv.linear_svm,36d_mean,0.8532
classical.feature_ablation_cv.linear_svm,63d_mean,0.842
classical.feature_ablation_cv.linear_svm,mean_gap_63d_minus_36d,-0.011199999999999988
classical.feature_ablation_cv.linear_svm,paired_p,0.14791187226268018
classical.feature_ablation_cv.rbf_svm,36d_mean,1.0
classical.feature_ablation_cv.rbf_svm,63d_mean,1.0
classical.feature_ablation_cv.rbf_svm,mean_gap_63d_minus_36d,0.0
classical.feature_ablation_cv.random_forest,36d_mean,1.0
classical.feature_ablation_cv.random_forest,63d_mean,0.9996
classical.feature_ablation_cv.random_forest,mean_gap_63d_minus_36d,-0.00039999999999995595
classical.feature_ablation_cv.random_forest,paired_p,0.17780780835622123
classical.feature_ablation_cv.gradient_boosting,36d_mean,1.0
classical.feature_ablation_cv.gradient_boosting,63d_mean,1.0
classical.feature_ablation_cv.gradient_boosting,mean_gap_63d_minus_36d,0.0
classical.linear_feature_controls.local_9d,accuracy,0.8
classical.linear_feature_controls.local_9d,balanced_accuracy,0.5
classical.linear_feature_controls.local_9d,precision,0.8
classical.linear_feature_controls.local_9d,recall,1.0
